ID;location;depth;habitat_certainty;lat;lon
530;Carlingford;;HH;54.07051;-6.29011
531;Carrickfergus,_Belfast_Lough;;HH;54.69325;-5.74421
532;Clew_Bay,_Mayo;;HH;53.75717;-9.62433
533;Colchester;;HH;51.83923;1.03365
534;Faversham;;HH;51.38272;0.97891
535;Firth_of_Forth;;HH;55.98306;-3.31571
536;Porth_Dyllaen;;HH;52.91039;-4.62387
537;Guernsey;;HH;49.37117;-2.12495
538;Jersey;;HH;49.29731;-1.96682
539;Kenmare_River,_Kerry;;HH;51.89141;-9.68538
540;Killery,_Mayo;;HH;53.62265;-9.87587
541;Lessadil,_Clare;;HH;54.37669;-8.64313
542;Llangwm;;HH;51.67913;-4.95729
543;Loch_Fyne;;HH;56.03292;-5.30209
544;Loch_Ryan;;HH;54.96352;-5.04939
545;Maldon;;HH;51.72778;0.76379
546;Malahide,_Dublin;;HH;53.4398;-6.19872
547;Menai_Straits;;HH;53.24468;-4.12608
548;Milford;;HH;51.66071;-5.09925
549;Milton;;HH;51.36021;0.6936
550;Mulroy,_Donegal;;HH;55.16214;-7.71228
551;Poolbay,_Dublin;;HH;53.35253;-6.16502
552;Pwylhelli;;HH;52.8405;-4.44811
553;Queenborough;;HH;51.44925;0.67536
554;Ramsey_Bay;;HH;54.31645;-4.33774
555;Redbank_beds,_Clare;;HH;54.37669;-8.64313
556;Rhoscolyn;;HH;53.27941;-4.59784
557;Rochester;;HH;51.34869;0.55105
558;Sark;;HH;49.42975;-2.41984
559;Strood;;HH;51.34869;0.55105
560;Westport;;HH;53.8432;-9.66568
561;Whitstable;;HH;51.38272;0.97891
563;Ålbæk_Bugt;;HH;57.57145;10.56424
564;Firth_of_Forth_-_Queensferry_to_Stirling;;HH;56.05442;-3.50408
565;Cork;;HH;51.92797;-8.33996
566;River_Forth;;HH;56.05442;-3.50408
567;Firth_of_Forth;3.5_fms;HH;55.92764;-2.97057
568;Achill_Sound;;HH;53.99082;-9.8965
569;Lough_Swilly;shore;HH;55.09718;-7.52084
570;Fleetwood_and_Port_Glasgow;;HH;53.92339;-2.9584
571;Between_Cant_and_Sheppey;;HH;51.46062;0.81825
572;Cardigan_Bay;;HH;52.26006;-4.70545
573;Ogwen_estuary;shore;HH;53.24468;-4.12608
574;Pwllheli;;HH;52.8405;-4.44811
575;Ballochmartin_Bay;shore;HH;55.80772;-4.88579
576;Bay_of_Cancale;;HH;48.67711;-1.81584
577;Île_de_Ré;;HH;46.26702;-1.40399
578;Rocher_d'Aire;;HH;46.29428;-1.14712
